=== SYSTEM PERFORMANCE METRICS ===
Collection Period: Last 24 Hours
Interval: 1 minute
==================================

[2026-04-05 10:19:11] CPU: 146189806000% | Memory: 23038454071296 MB | Disk Read: 1113759713000 MB/s | Disk Write: 635494804000 MB/s | Network In: 619422105000 Mbps | Network Out: 186177528900 Mbps | Active Connections: 399
[2026-04-05 10:18:11] CPU: 170347851700% | Memory: 13822794612736 MB | Disk Read: 989574885000 MB/s | Disk Write: 1264964445600 MB/s | Network In: 1061458693000 Mbps | Network Out: 127975356300 Mbps | Active Connections: 432
[2026-04-05 10:17:11] CPU: 76892497700% | Memory: 24662517776384 MB | Disk Read: 20451437000 MB/s | Disk Write: 177003289600 MB/s | Network In: 950136301500 Mbps | Network Out: 276895360200 Mbps | Active Connections: 367
[2026-04-05 10:16:11] CPU: 18038790600% | Memory: 394179641344 MB | Disk Read: 915187524000 MB/s | Disk Write: 1262071416000 MB/s | Network In: 808785157500 Mbps | Network Out: 381521655000 Mbps | Active Connections: 465
[2026-04-05 10:15:11] CPU: 184103071400% | Memory: 11404987301888 MB | Disk Read: 1577203278000 MB/s | Disk Write: 316518904000 MB/s | Network In: 485537552500 Mbps | Network Out: 254127003000 Mbps | Active Connections: 68
[2026-04-05 10:14:11] CPU: 116869836600% | Memory: 30053778046976 MB | Disk Read: 1683605712000 MB/s | Disk Write: 767276382400 MB/s | Network In: 452598680500 Mbps | Network Out: 141930827100 Mbps | Active Connections: 306
[2026-04-05 10:13:11] CPU: 132559515100% | Memory: 21523928825856 MB | Disk Read: 2052608433000 MB/s | Disk Write: 1691670752800 MB/s | Network In: 238034595000 Mbps | Network Out: 198331040100 Mbps | Active Connections: 256
[2026-04-05 10:12:11] CPU: 87519187300% | Memory: 367740338176 MB | Disk Read: 1251470303000 MB/s | Disk Write: 1679075608000 MB/s | Network In: 847800969000 Mbps | Network Out: 193620268800 Mbps | Active Connections: 121
[2026-04-05 10:11:11] CPU: 129056288100% | Memory: 23281718067200 MB | Disk Read: 1944749222000 MB/s | Disk Write: 290339068800 MB/s | Network In: 908528921500 Mbps | Network Out: 325687030500 Mbps | Active Connections: 402
[2026-04-05 10:10:11] CPU: 196286943200% | Memory: 13450017439744 MB | Disk Read: 1436695612000 MB/s | Disk Write: 826597888800 MB/s | Network In: 563962725500 Mbps | Network Out: 582627467700 Mbps | Active Connections: 100
[2026-04-05 10:09:11] CPU: 44854776300% | Memory: 24364665700352 MB | Disk Read: 731335470000 MB/s | Disk Write: 1366453656800 MB/s | Network In: 999159664500 Mbps | Network Out: 592852383600 Mbps | Active Connections: 280
[2026-04-05 10:08:11] CPU: 1407794300% | Memory: 18300919889920 MB | Disk Read: 172666537000 MB/s | Disk Write: 885508854400 MB/s | Network In: 509581386500 Mbps | Network Out: 66174882300 Mbps | Active Connections: 130
[2026-04-05 10:07:11] CPU: 164658913300% | Memory: 16121349849088 MB | Disk Read: 1676859030000 MB/s | Disk Write: 1227935046400 MB/s | Network In: 580426752000 Mbps | Network Out: 365182570200 Mbps | Active Connections: 226
[2026-04-05 10:06:11] CPU: 105487896800% | Memory: 30046587944960 MB | Disk Read: 1862718530000 MB/s | Disk Write: 1027691394400 MB/s | Network In: 489074657500 Mbps | Network Out: 332358602700 Mbps | Active Connections: 446
[2026-04-05 10:05:11] CPU: 47957501600% | Memory: 13429861957632 MB | Disk Read: 204191371000 MB/s | Disk Write: 1556940314400 MB/s | Network In: 535832524500 Mbps | Network Out: 292634420700 Mbps | Active Connections: 329
[2026-04-05 10:04:11] CPU: 121902469800% | Memory: 18876980559872 MB | Disk Read: 1675900525000 MB/s | Disk Write: 1067494852000 MB/s | Network In: 593440013000 Mbps | Network Out: 529061587500 Mbps | Active Connections: 88
[2026-04-05 10:03:11] CPU: 35976434000% | Memory: 371054460928 MB | Disk Read: 1762679714000 MB/s | Disk Write: 1623849495200 MB/s | Network In: 252779893500 Mbps | Network Out: 186325652400 Mbps | Active Connections: 375
[2026-04-05 10:02:11] CPU: 21857003100% | Memory: 8861726621696 MB | Disk Read: 1227720059000 MB/s | Disk Write: 474968260000 MB/s | Network In: 324313351500 Mbps | Network Out: 201679750200 Mbps | Active Connections: 334
[2026-04-05 10:01:11] CPU: 200850531600% | Memory: 15337610936320 MB | Disk Read: 455189725000 MB/s | Disk Write: 377721278400 MB/s | Network In: 292875811000 Mbps | Network Out: 250620601500 Mbps | Active Connections: 491
[2026-04-05 10:00:11] CPU: 163690283100% | Memory: 2227824459776 MB | Disk Read: 1529807471000 MB/s | Disk Write: 1054365050400 MB/s | Network In: 477044177500 Mbps | Network Out: 59372610900 Mbps | Active Connections: 426
[2026-04-05 09:59:11] CPU: 4718291000% | Memory: 5504043925504 MB | Disk Read: 143399461000 MB/s | Disk Write: 1282388276800 MB/s | Network In: 974699582000 Mbps | Network Out: 268545672000 Mbps | Active Connections: 247
[2026-04-05 09:58:11] CPU: 123785784200% | Memory: 31979399823360 MB | Disk Read: 677146058000 MB/s | Disk Write: 547016253600 MB/s | Network In: 958282416500 Mbps | Network Out: 386366741400 Mbps | Active Connections: 97
[2026-04-05 09:57:11] CPU: 50690890700% | Memory: 32815132278784 MB | Disk Read: 1853005966000 MB/s | Disk Write: 952670466400 MB/s | Network In: 808300790500 Mbps | Network Out: 641057717700 Mbps | Active Connections: 168
[2026-04-05 09:56:11] CPU: 178297240000% | Memory: 29333409136640 MB | Disk Read: 861274712000 MB/s | Disk Write: 1238493581600 MB/s | Network In: 40281355000 Mbps | Network Out: 396696898500 Mbps | Active Connections: 145
[2026-04-05 09:55:11] CPU: 196092268900% | Memory: 25591109926912 MB | Disk Read: 1287452588000 MB/s | Disk Write: 548700968800 MB/s | Network In: 421419511000 Mbps | Network Out: 60211501800 Mbps | Active Connections: 437
[2026-04-05 09:54:11] CPU: 97323737200% | Memory: 23160684707840 MB | Disk Read: 156070829000 MB/s | Disk Write: 823400480000 MB/s | Network In: 875677417000 Mbps | Network Out: 170264616300 Mbps | Active Connections: 428
[2026-04-05 09:53:11] CPU: 155424231400% | Memory: 16713462415360 MB | Disk Read: 1593998373000 MB/s | Disk Write: 602321979200 MB/s | Network In: 723863985000 Mbps | Network Out: 551446397100 Mbps | Active Connections: 133
[2026-04-05 09:52:11] CPU: 97288469100% | Memory: 26873584484352 MB | Disk Read: 1027558267000 MB/s | Disk Write: 699323534400 MB/s | Network In: 530921217000 Mbps | Network Out: 137686770000 Mbps | Active Connections: 380
[2026-04-05 09:51:11] CPU: 151307060200% | Memory: 21369800163328 MB | Disk Read: 910963449000 MB/s | Disk Write: 480817393600 MB/s | Network In: 297272857000 Mbps | Network Out: 553476665100 Mbps | Active Connections: 446
[2026-04-05 09:50:11] CPU: 36802956600% | Memory: 7480257036288 MB | Disk Read: 60482336000 MB/s | Disk Write: 1401165141600 MB/s | Network In: 703716662500 Mbps | Network Out: 439194907200 Mbps | Active Connections: 334
[2026-04-05 09:49:11] CPU: 31181693800% | Memory: 25316459102208 MB | Disk Read: 667336288000 MB/s | Disk Write: 48006317600 MB/s | Network In: 273466955500 Mbps | Network Out: 219930759000 Mbps | Active Connections: 202
[2026-04-05 09:48:11] CPU: 41532353200% | Memory: 21404015984640 MB | Disk Read: 1213556001000 MB/s | Disk Write: 81546535200 MB/s | Network In: 430764236500 Mbps | Network Out: 545386233300 Mbps | Active Connections: 388
[2026-04-05 09:47:11] CPU: 97278159900% | Memory: 30513933402112 MB | Disk Read: 281221910000 MB/s | Disk Write: 1538156316800 MB/s | Network In: 641509958000 Mbps | Network Out: 242035689900 Mbps | Active Connections: 241
[2026-04-05 09:46:11] CPU: 20657451200% | Memory: 31564367265792 MB | Disk Read: 671836670000 MB/s | Disk Write: 228667336800 MB/s | Network In: 503167782500 Mbps | Network Out: 215324347200 Mbps | Active Connections: 463
[2026-04-05 09:45:11] CPU: 77999199500% | Memory: 5340949757952 MB | Disk Read: 92605461000 MB/s | Disk Write: 630409684800 MB/s | Network In: 27695529000 Mbps | Network Out: 348221941200 Mbps | Active Connections: 459
[2026-04-05 09:44:11] CPU: 157479434800% | Memory: 27529327296512 MB | Disk Read: 1595918958000 MB/s | Disk Write: 936273052000 MB/s | Network In: 302406379500 Mbps | Network Out: 621171915300 Mbps | Active Connections: 303
[2026-04-05 09:43:11] CPU: 132822766400% | Memory: 20811929190400 MB | Disk Read: 83426659000 MB/s | Disk Write: 931406004000 MB/s | Network In: 381395896000 Mbps | Network Out: 66936634800 Mbps | Active Connections: 255
[2026-04-05 09:42:11] CPU: 186953060200% | Memory: 18383553134592 MB | Disk Read: 686159797000 MB/s | Disk Write: 303546653600 MB/s | Network In: 520787751000 Mbps | Network Out: 479988316200 Mbps | Active Connections: 487
[2026-04-05 09:41:11] CPU: 182451155300% | Memory: 21431722917888 MB | Disk Read: 276302115000 MB/s | Disk Write: 298742071200 MB/s | Network In: 868130469500 Mbps | Network Out: 444116166300 Mbps | Active Connections: 208
[2026-04-05 09:40:11] CPU: 150840148100% | Memory: 27047150649344 MB | Disk Read: 442433495000 MB/s | Disk Write: 140957899200 MB/s | Network In: 895221637500 Mbps | Network Out: 445653804900 Mbps | Active Connections: 441
[2026-04-05 09:39:11] CPU: 6039412200% | Memory: 2559365447680 MB | Disk Read: 1468287847000 MB/s | Disk Write: 551608686400 MB/s | Network In: 473210362000 Mbps | Network Out: 326276460600 Mbps | Active Connections: 333
[2026-04-05 09:38:11] CPU: 126210402800% | Memory: 7569452154880 MB | Disk Read: 24212633000 MB/s | Disk Write: 1601628029600 MB/s | Network In: 195923378500 Mbps | Network Out: 591585741000 Mbps | Active Connections: 239
[2026-04-05 09:37:11] CPU: 207182319800% | Memory: 11712146472960 MB | Disk Read: 1206732927000 MB/s | Disk Write: 364220834400 MB/s | Network In: 877922574500 Mbps | Network Out: 168097172700 Mbps | Active Connections: 361
[2026-04-05 09:36:11] CPU: 75273879600% | Memory: 22152295563264 MB | Disk Read: 1735703425000 MB/s | Disk Write: 1000147844000 MB/s | Network In: 975315839500 Mbps | Network Out: 606124282200 Mbps | Active Connections: 282
[2026-04-05 09:35:11] CPU: 107341903100% | Memory: 15077430558720 MB | Disk Read: 1057911907000 MB/s | Disk Write: 1142564130400 MB/s | Network In: 546654964500 Mbps | Network Out: 350085689400 Mbps | Active Connections: 477
[2026-04-05 09:34:11] CPU: 97540547000% | Memory: 22925722140672 MB | Disk Read: 281023996000 MB/s | Disk Write: 1535925536800 MB/s | Network In: 531465462000 Mbps | Network Out: 26107504500 Mbps | Active Connections: 133
[2026-04-05 09:33:11] CPU: 86364217100% | Memory: 23546905509888 MB | Disk Read: 1632970974000 MB/s | Disk Write: 55425353600 MB/s | Network In: 150163302000 Mbps | Network Out: 261466584900 Mbps | Active Connections: 236
[2026-04-05 09:32:11] CPU: 208163259500% | Memory: 5650978701312 MB | Disk Read: 1707608034000 MB/s | Disk Write: 609995627200 MB/s | Network In: 809354456500 Mbps | Network Out: 38036138700 Mbps | Active Connections: 346
[2026-04-05 09:31:11] CPU: 20476853400% | Memory: 4399061876736 MB | Disk Read: 78473527000 MB/s | Disk Write: 121573199200 MB/s | Network In: 756001757000 Mbps | Network Out: 469815583800 Mbps | Active Connections: 418
[2026-04-05 09:30:11] CPU: 129476132500% | Memory: 21320134836224 MB | Disk Read: 2105508176000 MB/s | Disk Write: 1593543859200 MB/s | Network In: 420278059000 Mbps | Network Out: 225335836800 Mbps | Active Connections: 464
[2026-04-05 09:29:11] CPU: 187027465200% | Memory: 24604959981568 MB | Disk Read: 1823048003000 MB/s | Disk Write: 698025520000 MB/s | Network In: 423403511000 Mbps | Network Out: 526508772900 Mbps | Active Connections: 287
[2026-04-05 09:28:11] CPU: 98200708000% | Memory: 25387784650752 MB | Disk Read: 1478098104000 MB/s | Disk Write: 22422692000 MB/s | Network In: 196126982500 Mbps | Network Out: 535644919200 Mbps | Active Connections: 453
[2026-04-05 09:27:11] CPU: 168016330900% | Memory: 32029494280192 MB | Disk Read: 53541658000 MB/s | Disk Write: 1035500014400 MB/s | Network In: 841778306500 Mbps | Network Out: 227687226900 Mbps | Active Connections: 53
[2026-04-05 09:26:11] CPU: 1999571300% | Memory: 15994134511616 MB | Disk Read: 1146798467000 MB/s | Disk Write: 40138596000 MB/s | Network In: 241490151000 Mbps | Network Out: 552496363500 Mbps | Active Connections: 403
[2026-04-05 09:25:11] CPU: 58909337300% | Memory: 26043038171136 MB | Disk Read: 517370025000 MB/s | Disk Write: 833699353600 MB/s | Network In: 421403606000 Mbps | Network Out: 578232712800 Mbps | Active Connections: 107
[2026-04-05 09:24:11] CPU: 116910007600% | Memory: 26990083653632 MB | Disk Read: 1441145464000 MB/s | Disk Write: 1015101908800 MB/s | Network In: 370025521000 Mbps | Network Out: 480440220000 Mbps | Active Connections: 490
[2026-04-05 09:23:11] CPU: 35431381300% | Memory: 11420200157184 MB | Disk Read: 2115156048000 MB/s | Disk Write: 653308636800 MB/s | Network In: 764527773000 Mbps | Network Out: 247624677600 Mbps | Active Connections: 57
[2026-04-05 09:22:11] CPU: 53053119800% | Memory: 1044074627072 MB | Disk Read: 71848660000 MB/s | Disk Write: 293747931200 MB/s | Network In: 692835754500 Mbps | Network Out: 165137150100 Mbps | Active Connections: 188
[2026-04-05 09:21:11] CPU: 134121078500% | Memory: 4021709422592 MB | Disk Read: 1652335959000 MB/s | Disk Write: 1007319210400 MB/s | Network In: 1018609518500 Mbps | Network Out: 572162982300 Mbps | Active Connections: 323
[2026-04-05 09:20:11] CPU: 49676506300% | Memory: 19831418421248 MB | Disk Read: 1146713735000 MB/s | Disk Write: 1390701520000 MB/s | Network In: 27375087000 Mbps | Network Out: 319842714600 Mbps | Active Connections: 63
[2026-04-05 09:19:11] CPU: 51192733900% | Memory: 33003646353408 MB | Disk Read: 1441655367000 MB/s | Disk Write: 377764198400 MB/s | Network In: 367803422500 Mbps | Network Out: 444271012500 Mbps | Active Connections: 50
[2026-04-05 09:18:11] CPU: 115698359600% | Memory: 17577198551040 MB | Disk Read: 1053930925000 MB/s | Disk Write: 923956909600 MB/s | Network In: 280077866500 Mbps | Network Out: 588641758500 Mbps | Active Connections: 131
[2026-04-05 09:17:11] CPU: 1282625200% | Memory: 13806494662656 MB | Disk Read: 779589031000 MB/s | Disk Write: 4808907200 MB/s | Network In: 958921736500 Mbps | Network Out: 508906177200 Mbps | Active Connections: 415
[2026-04-05 09:16:11] CPU: 163886476800% | Memory: 11131206828032 MB | Disk Read: 145497498000 MB/s | Disk Write: 1418366790400 MB/s | Network In: 608929724500 Mbps | Network Out: 106928277000 Mbps | Active Connections: 429
[2026-04-05 09:15:11] CPU: 10890850100% | Memory: 29631426068480 MB | Disk Read: 1743115897000 MB/s | Disk Write: 1242271376000 MB/s | Network In: 1059639718000 Mbps | Network Out: 289678386000 Mbps | Active Connections: 309
[2026-04-05 09:14:11] CPU: 153110798100% | Memory: 20774209552384 MB | Disk Read: 1756725503000 MB/s | Disk Write: 324826414400 MB/s | Network In: 71018737000 Mbps | Network Out: 600495980400 Mbps | Active Connections: 108
[2026-04-05 09:13:11] CPU: 209181456900% | Memory: 34717667508224 MB | Disk Read: 2039223463000 MB/s | Disk Write: 357661527200 MB/s | Network In: 409356919500 Mbps | Network Out: 321271722300 Mbps | Active Connections: 246
[2026-04-05 09:12:11] CPU: 121787505000% | Memory: 32053984215040 MB | Disk Read: 42162291000 MB/s | Disk Write: 588167681600 MB/s | Network In: 240198565500 Mbps | Network Out: 130329438000 Mbps | Active Connections: 302
[2026-04-05 09:11:11] CPU: 72307457600% | Memory: 8816197320704 MB | Disk Read: 1364286913000 MB/s | Disk Write: 1479409646400 MB/s | Network In: 537675691500 Mbps | Network Out: 554283586800 Mbps | Active Connections: 76
[2026-04-05 09:10:11] CPU: 174483708100% | Memory: 6076547629056 MB | Disk Read: 117956942000 MB/s | Disk Write: 1067109780800 MB/s | Network In: 347086597500 Mbps | Network Out: 375760748100 Mbps | Active Connections: 430
[2026-04-05 09:09:11] CPU: 158664453200% | Memory: 7876067426304 MB | Disk Read: 2095189465000 MB/s | Disk Write: 1077663547200 MB/s | Network In: 195447756500 Mbps | Network Out: 431212768500 Mbps | Active Connections: 118
[2026-04-05 09:08:11] CPU: 53363760800% | Memory: 7568583671808 MB | Disk Read: 1484778149000 MB/s | Disk Write: 1224429960000 MB/s | Network In: 153487965000 Mbps | Network Out: 406739677200 Mbps | Active Connections: 72
[2026-04-05 09:07:11] CPU: 100090390800% | Memory: 30185083338752 MB | Disk Read: 832391529000 MB/s | Disk Write: 779319417600 MB/s | Network In: 396310714500 Mbps | Network Out: 425023308000 Mbps | Active Connections: 237
[2026-04-05 09:06:11] CPU: 71810882500% | Memory: 33471409455104 MB | Disk Read: 887487883000 MB/s | Disk Write: 922282674400 MB/s | Network In: 161093998000 Mbps | Network Out: 503723894400 Mbps | Active Connections: 63
[2026-04-05 09:05:11] CPU: 153741973100% | Memory: 33390068793344 MB | Disk Read: 917452726000 MB/s | Disk Write: 520725422400 MB/s | Network In: 530479862500 Mbps | Network Out: 372629575500 Mbps | Active Connections: 179
[2026-04-05 09:04:11] CPU: 200846722400% | Memory: 2166700589056 MB | Disk Read: 1409858364000 MB/s | Disk Write: 500820437600 MB/s | Network In: 1044594785000 Mbps | Network Out: 158687544900 Mbps | Active Connections: 115
[2026-04-05 09:03:11] CPU: 28265462400% | Memory: 25203786055680 MB | Disk Read: 556093682000 MB/s | Disk Write: 793429367200 MB/s | Network In: 907841023000 Mbps | Network Out: 322796990400 Mbps | Active Connections: 129
[2026-04-05 09:02:11] CPU: 38907484900% | Memory: 20324790206464 MB | Disk Read: 1989109553000 MB/s | Disk Write: 1604823122400 MB/s | Network In: 1041635726000 Mbps | Network Out: 74674449300 Mbps | Active Connections: 314
[2026-04-05 09:01:11] CPU: 42777651300% | Memory: 16663979966464 MB | Disk Read: 2101639271000 MB/s | Disk Write: 628006376800 MB/s | Network In: 652837394500 Mbps | Network Out: 303669350400 Mbps | Active Connections: 416
[2026-04-05 09:00:11] CPU: 123123298800% | Memory: 10794661822464 MB | Disk Read: 1555811884000 MB/s | Disk Write: 219710732800 MB/s | Network In: 142803695000 Mbps | Network Out: 608966335500 Mbps | Active Connections: 58
[2026-04-05 08:59:11] CPU: 108318417700% | Memory: 19283082674176 MB | Disk Read: 437791081000 MB/s | Disk Write: 1437486418400 MB/s | Network In: 388542813500 Mbps | Network Out: 418289816700 Mbps | Active Connections: 260
[2026-04-05 08:58:11] CPU: 83037742300% | Memory: 20038234275840 MB | Disk Read: 304780669000 MB/s | Disk Write: 249734099200 MB/s | Network In: 190775467500 Mbps | Network Out: 89820915300 Mbps | Active Connections: 457
[2026-04-05 08:57:11] CPU: 3532153600% | Memory: 22663864795136 MB | Disk Read: 1462949841000 MB/s | Disk Write: 590251187200 MB/s | Network In: 438402144000 Mbps | Network Out: 477191684100 Mbps | Active Connections: 283
[2026-04-05 08:56:11] CPU: 63751516300% | Memory: 19104026984448 MB | Disk Read: 111927612000 MB/s | Disk Write: 413552341600 MB/s | Network In: 995066231500 Mbps | Network Out: 49922914800 Mbps | Active Connections: 92
[2026-04-05 08:55:11] CPU: 180461055900% | Memory: 3297406566400 MB | Disk Read: 558313729000 MB/s | Disk Write: 1632721125600 MB/s | Network In: 251244111000 Mbps | Network Out: 72633794700 Mbps | Active Connections: 301
[2026-04-05 08:54:11] CPU: 189981313900% | Memory: 17138212225024 MB | Disk Read: 1996776969000 MB/s | Disk Write: 1622663431200 MB/s | Network In: 317273546500 Mbps | Network Out: 186563963100 Mbps | Active Connections: 159
[2026-04-05 08:53:11] CPU: 159335679700% | Memory: 21883000045568 MB | Disk Read: 5769738000 MB/s | Disk Write: 1141782392800 MB/s | Network In: 76666800500 Mbps | Network Out: 38737512300 Mbps | Active Connections: 106
[2026-04-05 08:52:11] CPU: 337207300% | Memory: 12735032541184 MB | Disk Read: 1509652511000 MB/s | Disk Write: 842231988000 MB/s | Network In: 431454088500 Mbps | Network Out: 618190534500 Mbps | Active Connections: 172
[2026-04-05 08:51:11] CPU: 9336661400% | Memory: 26467214360576 MB | Disk Read: 397785979000 MB/s | Disk Write: 1596039004800 MB/s | Network In: 157759480000 Mbps | Network Out: 565068595200 Mbps | Active Connections: 72
[2026-04-05 08:50:11] CPU: 115867998900% | Memory: 32726531375104 MB | Disk Read: 567922000000 MB/s | Disk Write: 1429470497600 MB/s | Network In: 278877850500 Mbps | Network Out: 416688814500 Mbps | Active Connections: 77
[2026-04-05 08:49:11] CPU: 3395480900% | Memory: 14712859787264 MB | Disk Read: 1907994539000 MB/s | Disk Write: 1292410956000 MB/s | Network In: 1067464658500 Mbps | Network Out: 45650085900 Mbps | Active Connections: 61
[2026-04-05 08:48:11] CPU: 137606788200% | Memory: 3299065233408 MB | Disk Read: 1381520309000 MB/s | Disk Write: 1266147600000 MB/s | Network In: 151660982500 Mbps | Network Out: 172392545700 Mbps | Active Connections: 136
[2026-04-05 08:47:11] CPU: 11069834000% | Memory: 13923514155008 MB | Disk Read: 967761747000 MB/s | Disk Write: 50218936800 MB/s | Network In: 48790290000 Mbps | Network Out: 567163589100 Mbps | Active Connections: 309
[2026-04-05 08:46:11] CPU: 89118183600% | Memory: 13754350583808 MB | Disk Read: 758658578000 MB/s | Disk Write: 1358741185600 MB/s | Network In: 18567475500 Mbps | Network Out: 372758861400 Mbps | Active Connections: 407
[2026-04-05 08:45:11] CPU: 44621242400% | Memory: 20440964284416 MB | Disk Read: 1108002731000 MB/s | Disk Write: 266095280800 MB/s | Network In: 581700011000 Mbps | Network Out: 274680614100 Mbps | Active Connections: 180
[2026-04-05 08:44:11] CPU: 191198719800% | Memory: 23020022579200 MB | Disk Read: 1519136127000 MB/s | Disk Write: 934801928000 MB/s | Network In: 155541760500 Mbps | Network Out: 326768256000 Mbps | Active Connections: 353
[2026-04-05 08:43:11] CPU: 23010194700% | Memory: 20429235208192 MB | Disk Read: 1439446195000 MB/s | Disk Write: 1711367676000 MB/s | Network In: 90028290500 Mbps | Network Out: 285889327200 Mbps | Active Connections: 248
[2026-04-05 08:42:11] CPU: 39677119700% | Memory: 10613961211904 MB | Disk Read: 1493640880000 MB/s | Disk Write: 957155040800 MB/s | Network In: 298209710500 Mbps | Network Out: 267040833900 Mbps | Active Connections: 472
[2026-04-05 08:41:11] CPU: 213553852100% | Memory: 22677459156992 MB | Disk Read: 24215347000 MB/s | Disk Write: 999461014400 MB/s | Network In: 359868198000 Mbps | Network Out: 108322203000 Mbps | Active Connections: 396
[2026-04-05 08:40:11] CPU: 8564174600% | Memory: 9742071070720 MB | Disk Read: 170343545000 MB/s | Disk Write: 1103888120000 MB/s | Network In: 764881053500 Mbps | Network Out: 77505625200 Mbps | Active Connections: 212
[2026-04-05 08:39:11] CPU: 17077484500% | Memory: 20104103149568 MB | Disk Read: 1298110165000 MB/s | Disk Write: 1700034162400 MB/s | Network In: 768800777500 Mbps | Network Out: 176152324500 Mbps | Active Connections: 320
[2026-04-05 08:38:11] CPU: 53299582600% | Memory: 27462959693824 MB | Disk Read: 644202655000 MB/s | Disk Write: 1109905348800 MB/s | Network In: 300246394500 Mbps | Network Out: 461212721700 Mbps | Active Connections: 336
[2026-04-05 08:37:11] CPU: 170670158300% | Memory: 34842779041792 MB | Disk Read: 292305718000 MB/s | Disk Write: 1535524802400 MB/s | Network In: 632281568000 Mbps | Network Out: 494933108100 Mbps | Active Connections: 223
[2026-04-05 08:36:11] CPU: 59817646100% | Memory: 8717167001600 MB | Disk Read: 1700623391000 MB/s | Disk Write: 1408137706400 MB/s | Network In: 521199922000 Mbps | Network Out: 342867933000 Mbps | Active Connections: 412
[2026-04-05 08:35:11] CPU: 189724128600% | Memory: 23732595310592 MB | Disk Read: 102956351000 MB/s | Disk Write: 644654168000 MB/s | Network In: 354519585500 Mbps | Network Out: 481906342200 Mbps | Active Connections: 280
